what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474679224375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474679234457
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679234580
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679234647
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679237858
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679238755
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679238755
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679240281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474679241118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474679244377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679244474
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679244474
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679246330
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679247459
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679248764
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474679249684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474679257013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474679270287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474680658436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474680675235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474680692437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474680696755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474680712984
